Generation,Id,Chromosome,Fitness
0,0,1110000100111010110010101111101010101110110011001010100000000111111100100011110111110000100001100011,0.0
0,1,0111110101100110110011110101100010101000010111011001010001111100000111100101011100011001100000000101,-33.09000015258789
0,2,1001001100000101100101001011001111110011111000000001010110001111100000100100001001010011011111111011,-36.400001525878906
0,3,1010101010000101010010010110010100011000011000010100011000000011011101110110000011010111111000001111,-40.220001220703125
0,4,0111111111101011111111100101100111101011010010010101100011000100100011010100111010011010101001110100,-26.979999542236328
0,5,0011101010111110011100110100000010111101110110010110010011110011011000100011000111001010111001100000,-3.5
0,6,0110110110001101011010111000101110001111001101101010010100001101111110001011111100100111001111110001,0.4099999964237213
0,7,1011111000111001011110000011111110000011010100001011111101010000011010111001000111101001010110100010,-16.579999923706055
0,8,0100110100001000000110111111001001011101101010111110001111110010110011000110000010001000000100010001,-26.770000457763672
